GEOID,category,name,rating,lat,lon
551332031034,laundry,Washbnb,5.0,43.0440864562988,-87.8990631103516
551332031034,laundry,Quick Cleaners,0.0,43.0149422,-88.2355549
551332031034,laundry,Grab a Wash,0.0,43.082437,-88.035491
550279607003,grocery,Walmart Supercenter,2.7,43.48927,-88.81221
550279607003,grocery,Lupita's Market,4.2,43.4717484,-88.8394928
550279607003,grocery,ALDI,5.0,43.47901624866187,-88.8201263675508
550279607003,restaurant,Tower Lanes,2.5,43.4765777587891,-88.8242874145508
550279607003,restaurant,El Guacamole,3.9,43.4775832556213,-88.8202047527913
550279607003,restaurant,Applebee's Grill + Bar,1.7,43.477156,-88.821761
550279607003,restaurant,IHOP,1.0,43.48,-88.822
550279607003,restaurant,Chang Jiang Chinese Buffet,4.0,43.48705,-88.81187
550279607003,pharmacy,Aurora Pharmacy,0.0,43.4764595,-88.8229523
550279607003,pharmacy,Walmart Pharmacy,0.0,43.48879,-88.81157
550279607003,pharmacy,Walmart Supercenter,2.7,43.48927,-88.81221
550279607003,clinic,Affiliated Counseling Center,2.0,43.4769769,-88.8367659
550279607003,clinic,Noble Community Clinics - Medical/Behavioral Health,2.3,43.47807157787439,-88.8208592
550279607003,clinic,"Vita Park Eye Associates, SC",3.0,43.4837664,-88.8124563
550279607003,clinic,"Fields, Janna",0.0,43.480248,-88.810958
550279607003,clinic,"Jay Wilkins, MD",0.0,43.4837664,-88.8124563
550279607003,hospital,Beaver Dam Community Hospital,0.0,43.4634475708008,-88.8292083740234
550279607003,hospital,Paladina Health,0.0,43.4799481222906,-88.8115885059632
550279607003,school,Beaver Dam School District,0.0,43.467043766571166,-88.82139962419983
550279607003,school,Schools,0.0,43.4653687477112,-88.8215707987547
550279607003,school,Drivers Edvantage Driving School,5.0,43.468705498407765,-88.83114584072845
550279607003,school,Schools,0.0,43.4677204,-88.8380449
550279607003,school,Schools,0.0,43.46696,-88.82163
550279607003,bank,Horicon State Bank,3.0,43.4768486,-88.8218536
550279607003,bank,National Exchange Bank & Trust,0.0,43.47389,-88.82456
550279607003,bank,Summit Credit Union,4.0,43.487236,-88.81076
550279607003,bank,American Bank,0.0,43.47196,-88.82604
550279607003,bank,American Bank,0.0,43.489227,-88.811494
550279607003,hair,Supercuts,3.4,43.48676,-88.811566
550279607003,hair,Key West Tanning Salon & Spa,0.0,43.47704,-88.83514
550279607003,hair,Trends Hair Styling Salon,3.3,43.4692917,-88.8310394
550279607003,hair,Great Clips,1.3,43.4864311,-88.8105164
550279607003,hair,Holy Grail Hair Studio & Extension Bar,0.0,43.4666,-88.82026
550279607003,gym,Anytime Fitness,4.0,43.47425,-88.8262699
550279607003,gym,Aspire Boot Camp,3.0,43.478434,-88.835448
550279607003,gym,Snap Fitness,3.0,43.47646,-88.82295
550279607003,gym,Momentum Gym,4.0,43.47373277230289,-88.83240535765975
550279607003,gym,YMCA of Dodge County,0.0,43.4832584495652,-88.8139204215116
550279607003,coffee,Starbucks,0.0,43.485671,-88.809124
550279607003,coffee,McDonald's,2.3,43.4756842064425,-88.823411981582
550279607003,coffee,Life Boost Nutrition Beaver Dam,0.0,43.472211,-88.839044
550279607003,coffee,Dairy Queen Ltd Brazier,2.8,43.47369,-88.83903
550279607003,daycare,Rainbow Connection Child Care,5.0,43.4644203,-88.8306427
550279607003,daycare,Beaver Dam Community Hospital,0.0,43.4634475708008,-88.8292083740234
