GEOID,centroid_lat,centroid_lon
550870116002,5506886.964789167,-9834858.009090887
550870131002,5544374.871085213,-9830364.108684158
550870131001,5551509.020273782,-9830441.651250461
550870113003,5508329.4364099335,-9840443.670764102
550870127001,5530225.546741063,-9869523.724461159
550870123001,5509550.344198438,-9826387.215856362
550870102005,5506594.798713498,-9844146.42583802
550870114001,5511455.867197101,-9841258.805078723
550870111013,5509772.393838558,-9844078.616632707
550870127004,5519164.0162582835,-9876362.403948816
550870128003,5534654.387072096,-9843729.956063531
550879400001,5546593.183036563,-9820545.696375338
550870132003,5550432.438167515,-9843829.19277311
550870102001,5507426.047728001,-9844015.817856647
550870102002,5507228.214602678,-9843235.118389592
550870102003,5507215.576244212,-9842673.801164234
550870102004,5506381.544107631,-9842981.989688987
550790074001,5323894.827883151,-9782665.744840464
550791868001,5316486.166062476,-9788687.5209206
550791863002,5317739.703659896,-9786456.333706066
550870103002,5507393.025071167,-9841849.103128696
550870106011,5506752.846934814,-9837592.67598423
550571004001,5446841.234584205,-10039960.646226812
550571004003,5444049.614437577,-10025677.402369643
550870106012,5506533.472058335,-9836227.071690518
550870106021,5505227.204321406,-9837876.381488744
550870106022,5504450.053325293,-9837302.1416829
550870106023,5504372.92992471,-9836210.028312547
550870107001,5504537.086027557,-9840764.661133118
550870107002,5504866.370058708,-9839531.035934342
550870107003,5503977.121267611,-9838041.085485801
550870108001,5503760.74381453,-9842712.923876604
550571007001,5416851.827589302,-10024249.333001893
550571002002,5434515.650872983,-10035588.713231301
550571006004,5425096.14335997,-10044645.433236875
550571007003,5414887.06851947,-10003237.681988567
550571001002,5478931.006017477,-10024498.064626873
550571005002,5434168.80938294,-10030236.087266527
550571004002,5436552.818828733,-10014807.079255277
550571005004,5433570.784518393,-10028023.95902942
550571006001,5417601.334934591,-10045123.773106195
550571001001,5487274.91757621,-10035824.893587675
550571002004,5448828.265456811,-10049183.597442787
550571005003,5433748.015646519,-10025914.644140515
550571002001,5457145.150179648,-10042766.228904782
550571004004,5445040.661088699,-10032244.639164126
550571002003,5436810.359522289,-10046172.90422683
550571006002,5412037.98946181,-10040566.371525606
550571007002,5426259.912302847,-10015055.496081427
550870108002,5504153.652057504,-9841679.719410311
550870109001,5504024.837428705,-9844942.377866827
550870109002,5504065.348804868,-9843719.970499929
550870111012,5509224.963336524,-9844102.314532053
550870111014,5510927.147255723,-9843512.846888687
550571005001,5431032.098043687,-10027427.57381573
550571006003,5425044.817161853,-10051204.540320447
550870112002,5508354.109051667,-9843491.714354461
550870112003,5508364.742142768,-9842774.848083546
551010017021,5266393.383832929,-9784738.803250363
551010007005,5267429.20646966,-9775186.91650045
551010010012,5268064.509047465,-9778576.453409154
551010008005,5264290.61731584,-9775393.494610382
551010026004,5257020.638687174,-9823620.65717486
551010005006,5268325.218849933,-9774150.036265874
551010010023,5269091.310529948,-9777306.048873436
551010013011,5274515.041910773,-9772823.883161038
551010012013,5275853.387231394,-9775634.478175731
551010013012,5274481.905372862,-9773624.944249079
551010017022,5265651.079122262,-9784856.38216117
550791870003,5320362.992693116,-9783743.875276048
550896302023,5369423.628034286,-9784929.704873962
550896602011,5350310.227179399,-9800020.929552443
550896101022,5391674.795870455,-9780210.766353067
550896602022,5352436.356019097,-9791077.785765499
550870113001,5508510.476563097,-9842059.263064291
550870113002,5508498.20556626,-9841235.852381926
550870113004,5507914.796980659,-9841572.16124743
550870114002,5509472.148147135,-9840675.337321492
